date,value
2022-01-01,0.0054506482
2022-01-02,0.0053967533
2022-01-03,0.0055842773
2022-01-04,0.0055257671
2022-01-05,0.0055339265
2022-01-06,0.0055411332
2022-01-07,0.0055480367999999995
2022-01-08,0.0055237081
2022-01-09,0.0054482593
2022-01-10,0.0059517811
2022-01-11,0.0059382822
2022-01-12,0.0059413136
2022-01-13,0.0059453891
2022-01-14,0.0059492794
2022-01-15,0.0055998943
2022-01-16,0.0054688691999999995
2022-01-17,0.0059688698
2022-01-18,0.0059505997
2022-01-19,0.0059494462
2022-01-20,0.0059479369999999995
2022-01-21,0.0059436649
2022-01-22,0.0055947253
2022-01-23,0.0054576017
2022-01-24,0.0059488386
2022-01-25,0.0059248074
2022-01-26,0.0059178477
2022-01-27,0.0059105688
2022-01-28,0.0059017544
2022-01-29,0.0055520415
2022-01-30,0.0054111765999999995
2022-01-31,0.005888207899999999
2022-02-01,0.0058580834
2022-02-02,0.0058462402
2022-02-03,0.0058297463
2022-02-04,0.0058164183
2022-02-05,0.0054657785
2022-02-06,0.0053225751
2022-02-07,0.0057829094
2022-02-08,0.0057439333
2022-02-09,0.0057243791
2022-02-10,0.0057044105
2022-02-11,0.005681267
2022-02-12,0.0053350126
2022-02-13,0.0051878788
2022-02-14,0.0056209395
2022-02-15,0.0055762151
2022-02-16,0.0055463261
2022-02-17,0.005512538
2022-02-18,0.0054807006
2022-02-19,0.0051374429
2022-02-20,0.00498469
2022-02-21,0.0053894175
2022-02-22,0.0053361499
2022-02-23,0.0052968542
2022-02-24,0.0052567457
2022-02-25,0.0052157944
2022-02-26,0.0048792158
2022-02-27,0.0047237461000000005
2022-02-28,0.0051007286
2022-03-01,0.0050392497
2022-03-02,0.0049921926
2022-03-03,0.0049435699
2022-03-04,0.0048942361
2022-03-05,0.0045661389
2022-03-06,0.0044120686
2022-03-07,0.0047574918
2022-03-08,0.0046921649
2022-03-09,0.0046394245
2022-03-10,0.0045838285
2022-03-11,0.0045303346
2022-03-12,0.0042133643
2022-03-13,0.0040590962
2022-03-14,0.0043748366
2022-03-15,0.0043033671
2022-03-16,0.0042442568
